t,eta
318.2,0.85267
318.3,0.80048
318.4,0.73457
318.5,0.67927
318.6,0.63353
318.7,0.59044
318.8,0.54154
318.9,0.47516
319,0.40614
319.1,0.31633
319.2,0.20112
319.3,0.075756
319.4,-0.050327
319.5,-0.18041
319.6,-0.30629
319.7,-0.4433
319.8,-0.58738
319.9,-0.71605
320,-0.85301
320.1,-0.98786
320.2,-1.1005
320.3,-1.1694
320.4,-1.2012
320.5,-1.2043
320.6,-1.1977
320.7,-1.1613
320.8,-1.0933
320.9,-0.99629
321,-0.88455
321.1,-0.76114
321.2,-0.63855
321.3,-0.53513
321.4,-0.44166
321.5,-0.35396
321.6,-0.25236
321.7,-0.14341
321.8,-0.041186
321.9,0.060095
322,0.15684
322.1,0.25476
322.2,0.36787
322.3,0.49804
322.4,0.64118
322.5,0.75923
322.6,0.85649
322.7,0.92538
322.8,0.96189
322.9,0.97775
323,0.95317
323.1,0.88149
323.2,0.78161
323.3,0.6777
323.4,0.58539
323.5,0.51244
323.6,0.43042
323.7,0.33116
323.8,0.21723
323.9,0.096531
324,-0.015723
324.1,-0.10228
324.2,-0.16484
324.3,-0.20489
324.4,-0.25047
324.5,-0.29892
324.6,-0.3405
324.7,-0.3932
324.8,-0.45595
324.9,-0.52428
325,-0.59656
325.1,-0.66375
325.2,-0.70435
325.3,-0.70136
325.4,-0.66769
325.5,-0.60326
325.6,-0.52202
325.7,-0.42666
325.8,-0.33866
325.9,-0.23113
326,-0.1026
326.1,0.038275
326.2,0.18664
326.3,0.33293
326.4,0.46761
326.5,0.57232
326.6,0.65528
326.7,0.70594
326.8,0.74464
326.9,0.76377
327,0.77146
327.1,0.74392
327.2,0.69718
327.3,0.66598
327.4,0.65106
327.5,0.65413
327.6,0.64448
327.7,0.61754
327.8,0.56391
327.9,0.49415
328,0.40592
328.1,0.31068
328.2,0.22376
328.3,0.16572
328.4,0.11406
328.5,0.053807
328.6,-0.017527
328.7,-0.10032
328.8,-0.18286
328.9,-0.2889
329,-0.41799
329.1,-0.55877
329.2,-0.699
329.3,-0.81495
329.4,-0.91079
329.5,-0.98367
329.6,-1.0355
329.7,-1.0803
329.8,-1.1083
329.9,-1.1208
330,-1.1113
330.1,-1.0562
330.2,-0.97197
330.3,-0.87153
330.4,-0.77703
330.5,-0.70928
330.6,-0.65534
330.7,-0.59668
330.8,-0.53426
330.9,-0.45291
331,-0.36855
331.1,-0.28219
331.2,-0.19239
331.3,-0.097132
331.4,0.00033819
331.5,0.089812
331.6,0.16192
331.7,0.26345
331.8,0.36633
331.9,0.462
332,0.55305
332.1,0.62859
332.2,0.69696
332.3,0.74477
332.4,0.75323
332.5,0.73734
332.6,0.71153
332.7,0.68808
332.8,0.67644
332.9,0.66574
333,0.67266
333.1,0.69046
333.2,0.70866
333.3,0.72826
333.4,0.75333
333.5,0.78692
333.6,0.80786
333.7,0.83244
333.8,0.87391
333.9,0.91448
334,0.95592
334.1,0.98245
334.2,1.0076
334.3,1.0221
334.4,1.0115
334.5,0.97067
334.6,0.90488
334.7,0.81933
334.8,0.71458
334.9,0.56029
335,0.36651
335.1,0.15568
335.2,-0.081984
335.3,-0.31777
335.4,-0.52563
335.5,-0.71351
335.6,-0.88202
335.7,-1.0431
335.8,-1.2055
335.9,-1.3555
336,-1.4795
336.1,-1.5475
336.2,-1.5718
336.3,-1.5778
336.4,-1.5674
336.5,-1.5319
336.6,-1.4799
336.7,-1.4329
336.8,-1.3644
336.9,-1.2611
337,-1.1484
337.1,-1.0321
337.2,-0.92042
337.3,-0.81626
337.4,-0.72929
337.5,-0.66995
337.6,-0.62594
337.7,-0.60019
337.8,-0.59657
337.9,-0.58362
338,-0.54684
338.1,-0.49078
338.2,-0.40068
338.3,-0.28566
338.4,-0.17268
338.5,-0.057852
338.6,0.074535
338.7,0.21083
338.8,0.33369
338.9,0.44406
339,0.54827
339.1,0.65798
339.2,0.75591
339.3,0.84525
339.4,0.95909
339.5,1.0935
339.6,1.2248
339.7,1.3443
339.8,1.4466
339.9,1.538
340,1.6334
340.1,1.7343
340.2,1.8253
340.3,1.8961
340.4,1.9243
340.5,1.8972
340.6,1.8153
340.7,1.704
340.8,1.5822
340.9,1.4597
341,1.3401
341.1,1.2175
341.2,1.0824
341.3,0.91002
341.4,0.70642
341.5,0.48087
341.6,0.2651
341.7,0.055169
341.8,-0.14093
341.9,-0.32601
342,-0.51859
342.1,-0.70531
342.2,-0.86121
342.3,-0.99693
342.4,-1.1015
342.5,-1.1855
342.6,-1.2456
342.7,-1.2803
342.8,-1.3027
342.9,-1.3377
343,-1.3726
343.1,-1.4241
343.2,-1.4917
343.3,-1.5544
343.4,-1.6244
343.5,-1.6876
343.6,-1.7252
343.7,-1.749
343.8,-1.7624
343.9,-1.7517
344,-1.6947
344.1,-1.6
344.2,-1.4769
344.3,-1.324
344.4,-1.1513
344.5,-0.98279
344.6,-0.81289
344.7,-0.64655
344.8,-0.49047
344.9,-0.33904
345,-0.20403
345.1,-0.094311
345.2,0.018463
345.3,0.13058
345.4,0.24942
345.5,0.3551
345.6,0.44243
345.7,0.52898
345.8,0.62912
345.9,0.74549
346,0.89551
346.1,1.0672
346.2,1.2426
346.3,1.4139
346.4,1.5595
346.5,1.6965
346.6,1.8279
346.7,1.9227
346.8,1.991
346.9,2.0318
347,2.0514
347.1,2.036
347.2,1.9976
347.3,1.9599
347.4,1.9004
347.5,1.8135
347.6,1.7092
347.7,1.5817
347.8,1.4372
347.9,1.2569
348,1.0268
348.1,0.76674
348.2,0.4989
348.3,0.25343
348.4,0.030811
348.5,-0.1711
348.6,-0.36047
348.7,-0.5397
348.8,-0.70066
348.9,-0.85967
349,-1.0194
349.1,-1.1806
349.2,-1.3347
349.3,-1.4635
349.4,-1.589
349.5,-1.7242
349.6,-1.8596
349.7,-1.9807
349.8,-2.0696
349.9,-2.1461
350,-2.1891
350.1,-2.1933
350.2,-2.1677
350.3,-2.1231
350.4,-2.0665
350.5,-1.9743
350.6,-1.8453
350.7,-1.7039
350.8,-1.5392
350.9,-1.3504
351,-1.1493
351.1,-0.91721
351.2,-0.65346
351.3,-0.35599
351.4,-0.050608
351.5,0.25921
351.6,0.56753
351.7,0.84972
351.8,1.1008
351.9,1.3279
352,1.5231
352.1,1.6715
352.2,1.7871
352.3,1.866
352.4,1.9086
352.5,1.9251
352.6,1.9153
352.7,1.8709
352.8,1.7776
352.9,1.6381
353,1.4811
353.1,1.3367
353.2,1.1891
353.3,1.0644
353.4,0.96881
353.5,0.88277
353.6,0.80889
353.7,0.73986
353.8,0.66196
353.9,0.57182
354,0.49081
354.1,0.43012
354.2,0.39472
354.3,0.35156
354.4,0.25772
354.5,0.13837
354.6,0.00079794
354.7,-0.1438
354.8,-0.28399
354.9,-0.4287
355,-0.57785
355.1,-0.72838
355.2,-0.85869
355.3,-0.96632
355.4,-1.048
355.5,-1.091
355.6,-1.0884
355.7,-1.0575
355.8,-0.99936
355.9,-0.93545
356,-0.89149
356.1,-0.85893
356.2,-0.82015
356.3,-0.78061
356.4,-0.74734
356.5,-0.71169
356.6,-0.67822
356.7,-0.63895
356.8,-0.60899
356.9,-0.58993
357,-0.58141
357.1,-0.58934
357.2,-0.59636
357.3,-0.59335
357.4,-0.57936
357.5,-0.56813
357.6,-0.56418
357.7,-0.56054
357.8,-0.55881
357.9,-0.54929
358,-0.51796
358.1,-0.46355
358.2,-0.39314
358.3,-0.31327
358.4,-0.22966
358.5,-0.14187
358.6,-0.032411
358.7,0.11062
358.8,0.26686
358.9,0.44348
359,0.62516
359.1,0.77686
359.2,0.89421
359.3,0.96553
359.4,1.0003
359.5,1.022
359.6,1.0445
359.7,1.0658
359.8,1.09
359.9,1.1307
360,1.1802
360.1,1.2268
360.2,1.2521
360.3,1.2692
360.4,1.2884
360.5,1.2915
360.6,1.274
360.7,1.2211
360.8,1.1253
360.9,0.99409
361,0.82476
361.1,0.63311
361.2,0.44402
361.3,0.27702
361.4,0.12384
361.5,-0.013466
361.6,-0.13043
361.7,-0.23367
361.8,-0.34226
361.9,-0.43361
362,-0.51269
362.1,-0.57353
362.2,-0.60679
362.3,-0.6263
362.4,-0.6348
362.5,-0.64904
362.6,-0.67847
362.7,-0.71543
362.8,-0.75804
362.9,-0.7815
363,-0.79095
363.1,-0.78998
363.2,-0.78351
363.3,-0.7639
363.4,-0.74589
363.5,-0.72663
363.6,-0.69347
363.7,-0.67258
363.8,-0.65697
363.9,-0.61789
364,-0.56002
364.1,-0.50003
364.2,-0.44136
364.3,-0.38115
364.4,-0.32982
364.5,-0.29959
364.6,-0.28848
364.7,-0.28738
364.8,-0.29724
364.9,-0.30256
365,-0.29963
365.1,-0.2728
365.2,-0.2343
365.3,-0.19487
365.4,-0.16389
365.5,-0.13536
365.6,-0.084615
365.7,-0.021544
365.8,0.033746
365.9,0.081049
366,0.11682
366.1,0.12267
366.2,0.092586
366.3,0.075078
366.4,0.081391
366.5,0.099488
366.6,0.11405
366.7,0.1222
366.8,0.13773
366.9,0.15068
367,0.18741
367.1,0.25821
367.2,0.33034
367.3,0.39709
367.4,0.43495
367.5,0.45934
367.6,0.48919
367.7,0.52376
367.8,0.54431
367.9,0.53924
368,0.53461
368.1,0.54126
368.2,0.5676
368.3,0.60962
368.4,0.64038
368.5,0.65643
368.6,0.67017
368.7,0.69016
368.8,0.70173
368.9,0.69321
369,0.66708
369.1,0.64965
369.2,0.64327
369.3,0.64157
369.4,0.6231
369.5,0.5798
369.6,0.49753
369.7,0.41354
369.8,0.33337
369.9,0.25095
370,0.17268
370.1,0.10571
370.2,0.043658
370.3,-0.010898
370.4,-0.068455
370.5,-0.12522
370.6,-0.18639
370.7,-0.25299
370.8,-0.33354
370.9,-0.42402
371,-0.5231
371.1,-0.6123
371.2,-0.68807
371.3,-0.7524
371.4,-0.81576
371.5,-0.8834
371.6,-0.95056
371.7,-1.0127
371.8,-1.0816
371.9,-1.1376
372,-1.1564
372.1,-1.127
372.2,-1.0561
372.3,-0.96385
372.4,-0.87375
372.5,-0.79751
372.6,-0.72486
372.7,-0.6284
372.8,-0.52477
372.9,-0.43004
373,-0.34712
373.1,-0.279
373.2,-0.23727
373.3,-0.21805
373.4,-0.20198
373.5,-0.16855
373.6,-0.11989
373.7,-0.042263
373.8,0.056132
373.9,0.15481
374,0.25384
374.1,0.3508
374.2,0.44519
374.3,0.53672
374.4,0.63144
374.5,0.72115
374.6,0.81264
374.7,0.89319
374.8,0.93866
374.9,0.96352
375,0.96545
375.1,0.97045
375.2,0.96687
375.3,0.95523
375.4,0.92929
375.5,0.8798
375.6,0.82756
375.7,0.75835
375.8,0.69269
375.9,0.62962
376,0.55009
376.1,0.45854
376.2,0.37092
376.3,0.27285
376.4,0.18303
376.5,0.10887
376.6,0.050676
376.7,-0.0026426
376.8,-0.08049
376.9,-0.1748
377,-0.29128
377.1,-0.43543
377.2,-0.59317
377.3,-0.74584
377.4,-0.85199
377.5,-0.92971
377.6,-0.9865
377.7,-1.0039
377.8,-0.96256
377.9,-0.87449
378,-0.76958
378.1,-0.64819
378.2,-0.5141
378.3,-0.37063
378.4,-0.22307
378.5,-0.048681
378.6,0.11951
378.7,0.25132
378.8,0.34144
378.9,0.40843
379,0.44859
379.1,0.44898
379.2,0.41289
379.3,0.34436
379.4,0.2668
379.5,0.17796
379.6,0.074479
379.7,-0.015568
379.8,-0.089261
379.9,-0.16109
380,-0.22053
380.1,-0.25928
380.2,-0.27647
380.3,-0.2725
380.4,-0.26419
380.5,-0.2545
380.6,-0.2491
380.7,-0.21825
380.8,-0.158
380.9,-0.11563
381,-0.10998
381.1,-0.13959
381.2,-0.20512
381.3,-0.28704
381.4,-0.32607
381.5,-0.31632
381.6,-0.27731
381.7,-0.2098
381.8,-0.13493
381.9,-0.03642
382,0.084452
382.1,0.22184
382.2,0.3588
382.3,0.48096
382.4,0.57703
382.5,0.64593
382.6,0.70033
382.7,0.7231
382.8,0.72401
382.9,0.71243
383,0.69512
383.1,0.67226
383.2,0.65669
383.3,0.66003
383.4,0.67814
383.5,0.69186
383.6,0.69929
383.7,0.69474
383.8,0.65289
383.9,0.5643
384,0.43418
384.1,0.28991
384.2,0.14929
384.3,-0.0092732
384.4,-0.18338
384.5,-0.34106
384.6,-0.47454
384.7,-0.59098
384.8,-0.68646
384.9,-0.77226
385,-0.84029
385.1,-0.88347
385.2,-0.91543
385.3,-0.94151
385.4,-0.95381
385.5,-0.95728
385.6,-0.97877
385.7,-1.0154
385.8,-1.0304
385.9,-1.0158
386,-0.97791
386.1,-0.91919
386.2,-0.84335
386.3,-0.73376
386.4,-0.6007
386.5,-0.471
386.6,-0.35725
386.7,-0.24277
386.8,-0.11989
386.9,0.014441
387,0.14076
387.1,0.2712
387.2,0.39882
387.3,0.51101
387.4,0.61908
387.5,0.70858
387.6,0.76634
387.7,0.8033
387.8,0.81482
387.9,0.79203
388,0.75397
388.1,0.73654
388.2,0.73812
388.3,0.74195
388.4,0.71344
388.5,0.6504
388.6,0.56498
388.7,0.47271
388.8,0.41021
388.9,0.38172
389,0.35864
389.1,0.31664
389.2,0.26077
389.3,0.20107
389.4,0.15733
389.5,0.11267
389.6,0.066292
389.7,0.023597
389.8,-0.030671
389.9,-0.070727
390,-0.11954
390.1,-0.18311
390.2,-0.23763
390.3,-0.27337
390.4,-0.26581
390.5,-0.19938
390.6,-0.099786
390.7,0.0067901
390.8,0.085704
390.9,0.13954
391,0.19919
391.1,0.25874
391.2,0.3098
391.3,0.35737
391.4,0.39327
391.5,0.40839
391.6,0.41599
391.7,0.41085
391.8,0.36991
391.9,0.29614
392,0.19511
392.1,0.06701
392.2,-0.078526
392.3,-0.23699
392.4,-0.41203
392.5,-0.59052
392.6,-0.74107
392.7,-0.86235
392.8,-0.95388
392.9,-1.0269
393,-1.0947
393.1,-1.1684
393.2,-1.2322
393.3,-1.2781
393.4,-1.3025
393.5,-1.3039
393.6,-1.2814
393.7,-1.2177
393.8,-1.1113
393.9,-0.9895
394,-0.86465
394.1,-0.72478
394.2,-0.5681
394.3,-0.39327
394.4,-0.18726
394.5,0.040357
394.6,0.28081
394.7,0.52864
394.8,0.74507
394.9,0.92175
395,1.0595
395.1,1.1666
395.2,1.2349
395.3,1.275
395.4,1.3107
395.5,1.3348
395.6,1.3336
395.7,1.3137
395.8,1.2916
395.9,1.2734
396,1.2489
396.1,1.199
396.2,1.1487
396.3,1.0864
396.4,1.0036
396.5,0.89627
396.6,0.7422
396.7,0.57831
396.8,0.41714
396.9,0.23433
397,0.037554
397.1,-0.15773
397.2,-0.34684
397.3,-0.49212
397.4,-0.60249
397.5,-0.68423
397.6,-0.74093
397.7,-0.76613
397.8,-0.75781
397.9,-0.75042
398,-0.75409
398.1,-0.74548
398.2,-0.72949
398.3,-0.70448
398.4,-0.68091
398.5,-0.65705
398.6,-0.64701
398.7,-0.63778
398.8,-0.60343
398.9,-0.54255
399,-0.48475
399.1,-0.45364
399.2,-0.44742
399.3,-0.44908
399.4,-0.45374
399.5,-0.44507
399.6,-0.42485
399.7,-0.38648
399.8,-0.34522
399.9,-0.30326
400,-0.2457
400.1,-0.18923
400.2,-0.12607
400.3,-0.053592
400.4,0.032848
400.5,0.12954
400.6,0.23095
400.7,0.32645
400.8,0.38934
400.9,0.42285
401,0.46276
401.1,0.51327
401.2,0.55494
401.3,0.58934
401.4,0.60457
401.5,0.60662
401.6,0.5929
401.7,0.56883
401.8,0.52344
401.9,0.48148
402,0.4599
402.1,0.44152
402.2,0.42945
402.3,0.43624
402.4,0.42529
402.5,0.36231
402.6,0.28113
402.7,0.20158
402.8,0.12409
402.9,0.057343
403,-0.01522
403.1,-0.097571
403.2,-0.15993
403.3,-0.20482
403.4,-0.22681
403.5,-0.23617
403.6,-0.26262
403.7,-0.31412
403.8,-0.37289
403.9,-0.43318
404,-0.47567
404.1,-0.49881
404.2,-0.51866
404.3,-0.54508
404.4,-0.56248
404.5,-0.57627
404.6,-0.58344
404.7,-0.57812
404.8,-0.5614
404.9,-0.54063
405,-0.51124
405.1,-0.44141
405.2,-0.34791
405.3,-0.23264
405.4,-0.095365
405.5,0.04717
405.6,0.17797
405.7,0.30496
405.8,0.45405
405.9,0.61034
406,0.75428
406.1,0.89174
406.2,1.0292
406.3,1.1422
406.4,1.2189
406.5,1.237
406.6,1.2018
406.7,1.1188
406.8,0.98869
406.9,0.81067
407,0.62592
407.1,0.43746
407.2,0.26414
407.3,0.1103
407.4,-0.048785
407.5,-0.2203
407.6,-0.38505
407.7,-0.52154
407.8,-0.61699
407.9,-0.67269
408,-0.70925
408.1,-0.72343
408.2,-0.70662
408.3,-0.67114
408.4,-0.63369
408.5,-0.6061
408.6,-0.59512
408.7,-0.59811
408.8,-0.61118
408.9,-0.63479
409,-0.67396
409.1,-0.70875
409.2,-0.73658
409.3,-0.75712
409.4,-0.77687
409.5,-0.78872
409.6,-0.80475
409.7,-0.79847
409.8,-0.76732
409.9,-0.71929
410,-0.64705
410.1,-0.56611
410.2,-0.4674
410.3,-0.3632
410.4,-0.21823
410.5,-0.053695
410.6,0.085388
410.7,0.23491
410.8,0.39821
410.9,0.55545
411,0.69007
411.1,0.79202
411.2,0.87917
411.3,0.97154
411.4,1.0366
411.5,1.0771
411.6,1.0947
411.7,1.094
411.8,1.084
411.9,1.0675
412,1.0394
412.1,0.99277
412.2,0.93978
412.3,0.896
412.4,0.84764
412.5,0.79844
412.6,0.75547
412.7,0.7148
412.8,0.68829
412.9,0.66834
413,0.66376
413.1,0.64619
413.2,0.59223
413.3,0.51387
413.4,0.438
413.5,0.36011
413.6,0.27359
413.7,0.18619
413.8,0.11443
413.9,0.030561
414,-0.072225
414.1,-0.18807
414.2,-0.32133
414.3,-0.47546
414.4,-0.65184
414.5,-0.83247
414.6,-1.0094
414.7,-1.1589
414.8,-1.2862
414.9,-1.3821
415,-1.4527
415.1,-1.5109
415.2,-1.5421
415.3,-1.5314
415.4,-1.4845
415.5,-1.4012
415.6,-1.2925
415.7,-1.1828
415.8,-1.0683
415.9,-0.9529
416,-0.83284
416.1,-0.73251
416.2,-0.66699
416.3,-0.61264
416.4,-0.57464
416.5,-0.53615
416.6,-0.47519
416.7,-0.39477
416.8,-0.32162
416.9,-0.24874
417,-0.14509
417.1,-0.021247
417.2,0.089832
417.3,0.20817
417.4,0.32251
417.5,0.42341
417.6,0.50757
417.7,0.57041
417.8,0.63543
417.9,0.69615
418,0.74177
418.1,0.77639
418.2,0.82229
418.3,0.86946
418.4,0.92123
418.5,0.99533
418.6,1.0821
418.7,1.165
418.8,1.2291
418.9,1.2847
419,1.3356
419.1,1.3613
419.2,1.3746
419.3,1.3798
419.4,1.3765
419.5,1.3787
419.6,1.3735
419.7,1.3604
419.8,1.3093
419.9,1.2139
420,1.0907
420.1,0.97382
420.2,0.85824
420.3,0.71284
420.4,0.54301
420.5,0.34207
420.6,0.11307
420.7,-0.085683
420.8,-0.25502
420.9,-0.39421
421,-0.50765
421.1,-0.60912
421.2,-0.70427
421.3,-0.79555
421.4,-0.89161
421.5,-0.99198
421.6,-1.0931
421.7,-1.1992
421.8,-1.3114
421.9,-1.4066
422,-1.483
422.1,-1.5366
422.2,-1.5561
422.3,-1.5783
422.4,-1.6154
422.5,-1.6526
422.6,-1.6911
422.7,-1.6997
422.8,-1.6832
422.9,-1.6629
423,-1.62
423.1,-1.5414
423.2,-1.4229
423.3,-1.2665
423.4,-1.0824
423.5,-0.8845
423.6,-0.67775
423.7,-0.46677
423.8,-0.26066
423.9,-0.064388
424,0.11843
424.1,0.2919
424.2,0.44272
424.3,0.55764
424.4,0.64575
424.5,0.73996
424.6,0.85813
424.7,0.98214
424.8,1.109
424.9,1.2243
425,1.3155
425.1,1.3839
425.2,1.4309
425.3,1.4559
425.4,1.4586
425.5,1.4582
425.6,1.4524
425.7,1.4155
425.8,1.364
425.9,1.3067
426,1.2502
426.1,1.1898
426.2,1.1164
426.3,1.0435
426.4,0.96884
426.5,0.88051
426.6,0.78915
426.7,0.7059
426.8,0.61538
426.9,0.52248
427,0.43255
427.1,0.34985
427.2,0.26741
427.3,0.17277
427.4,0.067767
427.5,-0.05345
427.6,-0.18007
427.7,-0.31476
427.8,-0.45082
427.9,-0.59772
428,-0.74838
428.1,-0.89065
428.2,-1.0189
428.3,-1.1061
428.4,-1.1692
428.5,-1.1968
428.6,-1.2013
428.7,-1.1987
428.8,-1.1737
428.9,-1.1393
429,-1.0761
429.1,-0.98665
429.2,-0.9225
429.3,-0.87253
429.4,-0.83802
429.5,-0.79966
429.6,-0.76864
429.7,-0.73758
429.8,-0.6881
429.9,-0.60898
430,-0.4993
430.1,-0.3659
430.2,-0.23219
430.3,-0.11064
430.4,0.0077853
430.5,0.099785
430.6,0.16312
430.7,0.20356
430.8,0.23888
430.9,0.296
431,0.38763
431.1,0.50676
431.2,0.63199
431.3,0.73826
431.4,0.79799
431.5,0.80037
431.6,0.78101
431.7,0.7614
431.8,0.7522
431.9,0.74717
432,0.73163
432.1,0.70439
432.2,0.68713
432.3,0.67335
432.4,0.63784
432.5,0.58132
432.6,0.52155
432.7,0.46402
432.8,0.4134
432.9,0.35021
433,0.27711
433.1,0.21327
433.2,0.15053
433.3,0.067813
433.4,-0.012196
433.5,-0.082972
433.6,-0.13523
433.7,-0.19427
433.8,-0.2715
433.9,-0.36244
434,-0.44852
434.1,-0.5273
434.2,-0.60015
434.3,-0.65537
434.4,-0.70444
434.5,-0.74409
434.6,-0.77091
434.7,-0.77933
434.8,-0.7575
434.9,-0.71376
435,-0.66288
435.1,-0.58749
435.2,-0.47243
435.3,-0.36503
435.4,-0.27303
435.5,-0.18704
435.6,-0.12862
435.7,-0.10393
435.8,-0.081424
435.9,-0.073178
436,-0.067899
436.1,-0.0665
436.2,-0.057637
436.3,-0.039137
436.4,-0.0078074
436.5,-0.00021906
436.6,-0.016257
436.7,-0.025305
436.8,-0.0039707
436.9,0.042868
437,0.10371
437.1,0.17608
437.2,0.24415
437.3,0.30474
437.4,0.37507
437.5,0.44382
437.6,0.52583
437.7,0.61493
437.8,0.67051
437.9,0.71903
438,0.7701
438.1,0.82507
438.2,0.88691
438.3,0.94075
438.4,0.98415
438.5,1.013
438.6,1.0402
438.7,1.0583
438.8,1.044
438.9,0.99116
439,0.90728
439.1,0.79169
439.2,0.63752
439.3,0.46768
439.4,0.28518
439.5,0.087404
439.6,-0.090182
439.7,-0.24098
439.8,-0.39146
439.9,-0.5349
440,-0.65896
440.1,-0.78994
440.2,-0.92196
440.3,-1.0215
440.4,-1.0839
440.5,-1.1146
440.6,-1.1173
440.7,-1.0934
440.8,-1.0633
440.9,-1.041
441,-1.0062
441.1,-0.96717
441.2,-0.95254
441.3,-0.95795
441.4,-0.96506
441.5,-0.99822
441.6,-1.0407
441.7,-1.0719
441.8,-1.0743
441.9,-1.0407
442,-0.96895
442.1,-0.86387
442.2,-0.72372
442.3,-0.56315
442.4,-0.38705
442.5,-0.19777
442.6,-0.0091478
442.7,0.17627
442.8,0.35858
442.9,0.54553
443,0.72901
443.1,0.88705
443.2,1.0134
443.3,1.1067
443.4,1.1798
443.5,1.2306
443.6,1.2698
443.7,1.3243
443.8,1.3668
443.9,1.3839
444,1.3714
444.1,1.3444
444.2,1.3032
444.3,1.2364
444.4,1.1473
444.5,1.0375
444.6,0.9076
444.7,0.77283
444.8,0.65293
444.9,0.55577
445,0.46213
445.1,0.33558
445.2,0.19355
445.3,0.034831
445.4,-0.14016
445.5,-0.31755
445.6,-0.47986
445.7,-0.60375
445.8,-0.6868
445.9,-0.74963
446,-0.78875
446.1,-0.81045
446.2,-0.81964
446.3,-0.84897
446.4,-0.88521
446.5,-0.89803
446.6,-0.9152
446.7,-0.95019
446.8,-0.98524
446.9,-1.0094
447,-1.026
447.1,-1.0198
447.2,-0.97474
447.3,-0.89939
447.4,-0.80845
447.5,-0.70136
447.6,-0.57624
447.7,-0.42306
447.8,-0.24803
447.9,-0.077725
448,0.079679
448.1,0.21792
448.2,0.32318
448.3,0.39526
448.4,0.44752
448.5,0.4854
448.6,0.52226
448.7,0.55249
448.8,0.57905
448.9,0.58838
449,0.58931
449.1,0.58439
449.2,0.58749
449.3,0.58616
449.4,0.56568
449.5,0.54008
449.6,0.51977
449.7,0.49557
449.8,0.46672
449.9,0.4791
450,0.51735
450.1,0.56964
450.2,0.61755
450.3,0.65148
450.4,0.65989
450.5,0.64338
450.6,0.60283
450.7,0.5378
450.8,0.46821
450.9,0.38804
451,0.3047
451.1,0.20711
451.2,0.085746
451.3,-0.041741
451.4,-0.14697
451.5,-0.25764
451.6,-0.37054
451.7,-0.45387
451.8,-0.50688
451.9,-0.53644
452,-0.54688
452.1,-0.55611
452.2,-0.57992
452.3,-0.61809
452.4,-0.65741
452.5,-0.69129
452.6,-0.73587
452.7,-0.79821
452.8,-0.86404
452.9,-0.92523
453,-0.97751
453.1,-1.0022
453.2,-0.99686
453.3,-0.94671
453.4,-0.88103
453.5,-0.81464
453.6,-0.749
453.7,-0.6874
453.8,-0.60013
453.9,-0.4831
454,-0.37168
454.1,-0.26383
454.2,-0.15003
454.3,-0.038718
454.4,0.074216
454.5,0.19466
454.6,0.32403
454.7,0.41464
454.8,0.45843
454.9,0.46866
455,0.46353
455.1,0.47215
455.2,0.49643
455.3,0.52674
455.4,0.56626
455.5,0.62832
455.6,0.69637
455.7,0.7648
455.8,0.82301
455.9,0.87412
456,0.91176
456.1,0.93235
456.2,0.92976
456.3,0.92726
456.4,0.92719
456.5,0.91547
456.6,0.89482
456.7,0.87832
456.8,0.86112
456.9,0.80224
457,0.71699
457.1,0.62186
457.2,0.51597
457.3,0.41878
457.4,0.34194
457.5,0.27438
457.6,0.22602
457.7,0.18678
457.8,0.15325
457.9,0.10687
458,0.062034
458.1,0.01322
458.2,-0.050208
458.3,-0.12189
458.4,-0.18907
458.5,-0.26673
458.6,-0.35522
458.7,-0.444
458.8,-0.53003
458.9,-0.61514
459,-0.68408
459.1,-0.73588
459.2,-0.75745
459.3,-0.76281
459.4,-0.77786
459.5,-0.79739
459.6,-0.80725
459.7,-0.8148
459.8,-0.83874
459.9,-0.86635
460,-0.90235
460.1,-0.95601
460.2,-1.012
460.3,-1.0543
460.4,-1.0708
460.5,-1.0591
460.6,-1.0285
460.7,-0.9822
460.8,-0.93024
460.9,-0.829
461,-0.68835
461.1,-0.54213
461.2,-0.39381
461.3,-0.24223
461.4,-0.084697
461.5,0.072499
461.6,0.21247
461.7,0.32635
461.8,0.41987
461.9,0.4897
462,0.53079
462.1,0.54516
462.2,0.54989
462.3,0.55025
462.4,0.55229
462.5,0.57723
462.6,0.62867
462.7,0.6952
462.8,0.76069
462.9,0.82583
463,0.85389
463.1,0.85055
463.2,0.81028
463.3,0.73786
463.4,0.6651
463.5,0.60136
463.6,0.53959
463.7,0.48073
463.8,0.40945
463.9,0.3392
464,0.29099
464.1,0.24773
464.2,0.21658
464.3,0.19477
464.4,0.19377
464.5,0.19345
464.6,0.19935
464.7,0.1992
464.8,0.20248
464.9,0.21213
465,0.20918
465.1,0.17372
465.2,0.12446
465.3,0.085493
465.4,0.052176
465.5,0.02188
465.6,0.0035346
465.7,-0.024545
465.8,-0.057826
465.9,-0.092917
466,-0.13701
466.1,-0.19715
466.2,-0.26791
466.3,-0.32222
466.4,-0.35695
466.5,-0.36617
466.6,-0.36058
466.7,-0.33383
466.8,-0.30309
466.9,-0.28304
467,-0.26434
467.1,-0.25803
467.2,-0.24504
467.3,-0.21188
467.4,-0.17655
467.5,-0.12892
467.6,-0.077719
467.7,-0.028704
467.8,0.0033543
467.9,0.014809
468,0.017858
468.1,0.020545
468.2,0.014512
468.3,0.0096611
468.4,0.0031201
468.5,0.0054326
468.6,0.010983
468.7,0.024247
468.8,0.049875
