t,eta
34.5,-0.24714
34.6,-0.27319
34.7,-0.29622
34.8,-0.3149
34.9,-0.32715
35,-0.33562
35.1,-0.33928
35.2,-0.35166
35.3,-0.36868
35.4,-0.36997
35.5,-0.35638
35.6,-0.33872
35.7,-0.33748
35.8,-0.34043
35.9,-0.32824
36,-0.30471
36.1,-0.27468
36.2,-0.24788
36.3,-0.23386
36.4,-0.23646
36.5,-0.23682
36.6,-0.24802
36.7,-0.25252
36.8,-0.24417
36.9,-0.23655
37,-0.24871
37.1,-0.26373
37.2,-0.26322
37.3,-0.24049
37.4,-0.19463
37.5,-0.1398
37.6,-0.062431
37.7,0.033682
37.8,0.096424
37.9,0.12129
38,0.11488
38.1,0.083774
38.2,0.019102
38.3,-0.072995
38.4,-0.15959
38.5,-0.23464
38.6,-0.30026
38.7,-0.35237
38.8,-0.3808
38.9,-0.40238
39,-0.4144
39.1,-0.41644
39.2,-0.40919
39.3,-0.38851
39.4,-0.36064
39.5,-0.29875
39.6,-0.22169
39.7,-0.12854
39.8,-0.0049554
39.9,0.15175
40,0.34133
40.1,0.54559
40.2,0.74176
40.3,0.91752
40.4,1.0852
40.5,1.2473
40.6,1.3862
40.7,1.4744
40.8,1.5188
40.9,1.5157
41,1.4937
41.1,1.4414
41.2,1.35
41.3,1.2542
41.4,1.1547
41.5,1.0655
41.6,0.99219
41.7,0.93346
41.8,0.88569
41.9,0.84616
42,0.80141
42.1,0.71633
42.2,0.59011
42.3,0.44558
42.4,0.29009
42.5,0.092585
42.6,-0.13136
42.7,-0.37245
42.8,-0.63353
42.9,-0.89891
43,-1.1523
43.1,-1.3883
43.2,-1.5758
43.3,-1.7283
43.4,-1.8302
43.5,-1.8786
43.6,-1.8847
43.7,-1.8703
43.8,-1.8451
43.9,-1.8027
44,-1.7387
44.1,-1.661
44.2,-1.5552
44.3,-1.4305
44.4,-1.2828
44.5,-1.1278
44.6,-0.96659
44.7,-0.80483
44.8,-0.66553
44.9,-0.54041
45,-0.39781
45.1,-0.24815
45.2,-0.10985
45.3,0.020449
45.4,0.15265
45.5,0.27596
45.6,0.37272
45.7,0.44031
45.8,0.49933
45.9,0.5445
46,0.581
46.1,0.62907
46.2,0.67902
46.3,0.7263
46.4,0.78203
46.5,0.85497
46.6,0.92798
46.7,0.9946
46.8,1.0722
46.9,1.1607
47,1.2522
47.1,1.3433
47.2,1.4145
47.3,1.4544
47.4,1.4592
47.5,1.4427
47.6,1.4223
47.7,1.4049
47.8,1.3654
47.9,1.2645
48,1.1181
48.1,0.93378
48.2,0.71689
48.3,0.50899
48.4,0.3332
48.5,0.17203
48.6,0.032304
48.7,-0.092744
48.8,-0.19223
48.9,-0.2749
49,-0.34753
49.1,-0.41641
49.2,-0.46133
49.3,-0.50272
49.4,-0.55009
49.5,-0.61591
49.6,-0.70961
49.7,-0.80416
49.8,-0.87316
49.9,-0.92514
50,-0.96894
50.1,-1.0316
50.2,-1.097
50.3,-1.1496
50.4,-1.1859
50.5,-1.2072
50.6,-1.1986
50.7,-1.1674
50.8,-1.12
50.9,-1.0716
51,-1.0256
51.1,-0.978
51.2,-0.92454
51.3,-0.85689
51.4,-0.78704
51.5,-0.70453
51.6,-0.62861
51.7,-0.57668
51.8,-0.52079
51.9,-0.45193
52,-0.38289
52.1,-0.29576
52.2,-0.18523
52.3,-0.054512
52.4,0.099426
52.5,0.24507
52.6,0.35474
52.7,0.46047
52.8,0.5657
52.9,0.68046
53,0.78918
53.1,0.87667
53.2,0.97655
53.3,1.088
53.4,1.2203
53.5,1.3641
53.6,1.4736
53.7,1.5266
53.8,1.5368
53.9,1.5004
54,1.4232
54.1,1.333
54.2,1.2091
54.3,1.0756
54.4,0.94885
54.5,0.83083
54.6,0.71966
54.7,0.60479
54.8,0.47586
54.9,0.34237
55,0.20994
55.1,0.074002
55.2,-0.069035
55.3,-0.20339
55.4,-0.32998
55.5,-0.44166
55.6,-0.53208
55.7,-0.62238
55.8,-0.71766
55.9,-0.80196
56,-0.84981
56.1,-0.8702
56.2,-0.87862
56.3,-0.89484
56.4,-0.91846
56.5,-0.9314
56.6,-0.91176
56.7,-0.87257
56.8,-0.82305
56.9,-0.77307
57,-0.74364
57.1,-0.70847
57.2,-0.667
57.3,-0.62364
57.4,-0.56487
57.5,-0.48761
57.6,-0.40598
57.7,-0.31592
57.8,-0.23752
57.9,-0.17441
58,-0.11488
58.1,-0.044744
58.2,0.035273
58.3,0.09309
58.4,0.12615
58.5,0.14554
58.6,0.17078
58.7,0.18333
58.8,0.20196
58.9,0.23683
59,0.27991
59.1,0.3231
59.2,0.35807
59.3,0.39342
59.4,0.41876
59.5,0.42853
59.6,0.41982
59.7,0.41222
59.8,0.41036
59.9,0.40179
60,0.4035
60.1,0.42217
60.2,0.46474
60.3,0.51944
60.4,0.58098
60.5,0.64112
60.6,0.68681
60.7,0.69769
60.8,0.68307
60.9,0.64443
61,0.59734
61.1,0.54981
61.2,0.48684
61.3,0.4199
61.4,0.35719
61.5,0.29544
61.6,0.21961
61.7,0.10599
61.8,-0.018983
61.9,-0.14189
62,-0.24864
62.1,-0.35057
62.2,-0.43576
62.3,-0.50498
62.4,-0.57462
62.5,-0.65597
62.6,-0.72013
62.7,-0.74655
62.8,-0.75731
62.9,-0.78418
63,-0.81716
63.1,-0.84283
63.2,-0.85823
63.3,-0.85804
63.4,-0.83512
